"NAME","SEGMENT1"
"来安","113FN-23"
"徐闻黄塘","114FN-12"
"伊和乌素","114FN-14"
"剑河老山界","114FN-15"
"黎平大稼","114FN-16"
"枣阳白鹤","114FN-17"
"杨村二期","114FN-18"
"法国","113FN-HW-02"
"九江桃源","114FN-19"
"钓鱼台","114FN-22"
"景泰寺滩","114FN-20"
"天湖山","114FN-21"
"来溪","113FN-20"
"钟厝","113FN-21"
"惠东","113FN-16"
"潮南","113FN-12"
"惠来","113FN-13"
"苏宝顶","113FN-25"
"窑坡山","114FN-01"
"望云山","114FN-05"
"龙海新村","114FN-08"
"广水花山","114FN-09"
"锦屏","113FN-24"
"垦利一期","113FN-26"
"切吉敦曲","114FN-36"
"茶卡盐湖","114FN-37"
"云南大牛","115FN-04"
"顺会","115FN-06"
"辉县南旋风","115FN-08"
"西晃山","115FN-09"
"永泰","115FN-11"
"那仁宝力格","114FN-26"
"舒家山","114FN-27"
"三清山","114FN-28"
"南阳方城","115FN-10"
"青兰一期","115FN-13"
"五台山1","115FN-15-01"
"五台山2","115FN-15-02"
"子顶山","115FN-14"
"宝鼎山","115FN-17"
"界牌","115FN-16"
"打挂山","115FN-07"
"淖毛湖","115FN-12"
"龙排山","120FN-01"
"兴化湾一期（样机）","117FN-11"
"湘潭昌山","119FN-28"
"浚县2（15台）","119FN-07"
"横尖会立","119FN-10"
"黑龙江绥化木兰","119FN-21"
"天顺铁岭分布式","120FN-05"
"纳米比亚Luderitz和E-bay","116FN-02"
"石家","116FN-04"
"青兰二期","116FN-05"
"寻乌项山","116FN-11"
"乌鸡岭","116FN-12"
"城步五团","117FN-01"
"仙鹅塘","115FN-24"
"大冷","116FN-08"
"燕子山","117FN-04"
"败虎堡","116FN-07"
"松木塘","117FN-05"
"台湾新能5MW样机","115FN-19"
"海阳二期","116FN-10"
"南安洋坪","116FN-16"
"桃源二期","116FN-14"
"七琴城上","116FN-01"
"朝东","116FN-03"
"大板梁","116FN-09"
"黄河岛","117FN-02"
"大滩","117FN-07"
"石碑山","117FN-08"
"3213","32141"
"cbasui","23518753"
"四方庙","117FN-10"
"浚县临河项目","118FN-05"
"褒忠山","118FN-08"
"福清5MW海上样机（补）","111FN-20"
"法国INNOVENT","118FN-01"
"蓝山白毛坪","119FN-01"
"岱山4号","119FN-02"
"浚县临河运维项目","119FN-03"
"嘉兴一号","119FN-04"
"营口","119FN-05"
"融水九元山100MW","119FN-17"
"钦南区风门岭50MW","119FN-18"
"马山苏仅60MW","119FN-19"
"良庆墰清岭60MW","119FN-20"
"七台河北山、长兴项目","119FN-29"
"温店","118FN-06"
"大板梁塔筒","118FN-11"
"项目模板","118FN-12"
"徐闻学田","119FN-06"
"保安一期","119FN-26"
"长安营","119FN-27"
"宝莲扩容","119FN-32"
"七墩滩","120FN-03"
"梅岗(华电永州）","120FN-04"
"白芒营","118FN-07"
"大山坪","119FN-08"
"梅岗","119FN-09"
"武川","119FN-12"
"龙街","119FN-13"
"浏阳五鱼尖","119FN-30"
"岳麓鸡心山","119FN-31"
"中核睢宁85MW","119FN-15"
"锦屏（样机）131","118FN-02"
"宝鼎山二、三期","117FN-09"
"锦屏（样机）146","118FN-03"
"张北（样机）131","118FN-04"
"上满定","118FN-09"
"应城有名店","119FN-14"
"黑龙江绥化分散式","119FN-16"
"商城迎山庙","119FN-24"
"白毛坪2（15台）","119FN-11"
"中核睢宁梁集镇35MW","119FN-25"
"象州百丈二期","118FN-10"
"木垒四期标段一","119FN-22"
"木垒四期标段二","119FN-23"
"白毛坪增补2台","120FN-02"
